id_,coneduc,conpress,conlegis,conarmy,unemp,owngun,fefam,poleff11,gunlaw,cappun,hrs1,wrkgovt,marital,degree,incom16,partyid,natfare,natarmsy,pres16
756,Hardly any,Hardly any,Hardly any,Only some,Yes,Yes,Not applicable,Strongly agree,Oppose,Favor,54,Private,Never married,High school,Above average,Independent,Not applicable,About right,Not applicable
757,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,45,Private,Married,Bachelor,Above average,Strong democrat,Not applicable,Too much,Clinton
758,A great deal,Only some,Only some,Hardly any,No,No,Not applicable,Agree,Favor,Oppose,Not applicable,Private,Married,Junior college,Below average,Strong democrat,About right,Not applicable,Clinton
759,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Widowed,Graduate,Average,Strong democrat,Too little,Not applicable,Clinton
760,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Oppose,Not applicable,Government,Married,High school,Average,Not str democrat,Too little,Not applicable,Not applicable
761,A great deal,Hardly any,Only some,A great deal,No,Not applicable,Disagree,Disagree,Not applicable,Favor,Not applicable,Private,Married,Bachelor,Average,Strong republican,Not applicable,Too little,Trump
762,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Don't know,40,Private,Married,Bachelor,Average,"Ind,near dem",About right,Not applicable,Clinton
763,Only some,Only some,Only some,Only some,No,Not applicable,Strongly disagree,Not applicable,Not applicable,Favor,Not applicable,Private,Divorced,Bachelor,Above average,Independent,Too little,Not applicable,Clinton
764,Only some,Hardly any,Hardly any,Hardly any,Yes,No,Not applicable,Neither agree nor disagree,Favor,Favor,40,Private,Married,Junior college,Above average,Independent,Too little,Not applicable,Not applicable
765,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly agree,Not applicable,Favor,Oppose,40,Private,Widowed,High school,Above average,Strong republican,Too much,Not applicable,Not applicable
766,Only some,Only some,Only some,A great deal,Yes,Yes,Not applicable,Disagree,Oppose,Oppose,45,Private,Never married,Bachelor,Below average,"Ind,near dem",Not applicable,Too much,Clinton
767,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Widowed,Bachelor,Average,"Ind,near dem",Too much,Not applicable,Other candidate (specify)
768,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,40,Private,Divorced,High school,Below average,No answer,Not applicable,Too much,Clinton
769,Hardly any,Hardly any,Hardly any,Only some,Yes,Yes,Not applicable,Agree,Favor,Favor,16,Private,Divorced,High school,Below average,"Ind,near rep",Too much,Not applicable,Other candidate (specify)
770,Only some,A great deal,Hardly any,Hardly any,Yes,No,Not applicable,Agree,Favor,Oppose,24,Private,Never married,Bachelor,Average,Strong democrat,Not applicable,Too much,Not applicable
771,Only some,Only some,Only some,Only some,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Divorced,Bachelor,Below average,"Ind,near dem",About right,Not applicable,Not applicable
772,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Oppose,Not applicable,Private,Divorced,Bachelor,Average,Not str republican,Not applicable,About right,Not applicable
773,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Refused,Agree,Not applicable,Oppose,Favor,Not applicable,Private,Never married,High school,Average,Independent,About right,Not applicable,Not applicable
774,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,27,Private,Widowed,High school,Far below average,Independent,Not applicable,Too little,Don't know
775,Hardly any,Only some,Hardly any,Hardly any,No,Yes,Not applicable,Disagree,Favor,Don't know,Not applicable,Private,Married,Junior college,Above average,Strong democrat,Too little,Not applicable,Clinton
776,Only some,Only some,Only some,Hardly any,No,No,Not applicable,Strongly disagree,Favor,Oppose,68,Private,Never married,Junior college,Above average,Not str democrat,Too little,Not applicable,Not applicable
777,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,Not applicable,Government,Married,High school,Above average,Independent,Not applicable,Too much,Clinton
778,Hardly any,Hardly any,Hardly any,Hardly any,Yes,No,Not applicable,Strongly agree,Favor,Favor,50,Private,Never married,Lt high school,Average,"Ind,near rep",About right,Not applicable,Trump
779,Only some,Only some,Only some,A great deal,Yes,No,Not applicable,Disagree,Favor,Favor,40,Government,Married,Bachelor,Below average,Not str democrat,Not applicable,Too much,Clinton
780,Only some,Hardly any,Hardly any,A great deal,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,Not applicable,Government,Never married,High school,Average,Not str republican,Too much,Not applicable,Not applicable
781,Only some,Only some,Only some,Only some,Yes,Yes,Not applicable,Disagree,Favor,Favor,40,Private,Married,Bachelor,Far below average,Not str democrat,Too much,Not applicable,Not applicable
782,Only some,Hardly any,Only some,Only some,No,Not applicable,Disagree,Disagree,Not applicable,Oppose,50,Private,Widowed,High school,Below average,Not str republican,Not applicable,About right,Not applicable
783,Only some,Don't know,Only some,A great deal,No,No,Not applicable,Neither agree nor disagree,Favor,Favor,Not applicable,Private,Widowed,High school,Average,Not str republican,Not applicable,About right,Trump
784,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,32,Don't know,Divorced,Junior college,Above average,Strong democrat,Not applicable,Too little,Clinton
785,A great deal,Only some,Only some,A great deal,No,Not applicable,Disagree,Agree,Not applicable,Favor,48,Private,Divorced,High school,Far below average,"Ind,near dem",Not applicable,About right,Not applicable
786,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Strongly disagree,Not applicable,Favor,Favor,Not applicable,Private,Married,High school,Average,Strong republican,Too much,Not applicable,Trump
787,Only some,Hardly any,Only some,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,11,Private,Married,High school,Below average,Strong republican,Too much,Not applicable,Trump
788,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,24,Private,Never married,Lt high school,Average,Not str republican,About right,Not applicable,Not applicable
789,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,Disagree,Not applicable,Favor,Favor,42,Private,Married,High school,Average,Independent,Not applicable,About right,Not applicable
790,Only some,Only some,Hardly any,Only some,Yes,Yes,Not applicable,Agree,Oppose,Oppose,42,Private,Divorced,Junior college,Above average,"Ind,near dem",About right,Not applicable,Clinton
791,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Don't know,Not applicable,Private,Divorced,High school,Average,Not str democrat,About right,Not applicable,Clinton
792,A great deal,A great deal,Hardly any,A great deal,No,Yes,Not applicable,Disagree,Favor,Oppose,Not applicable,Private,Married,Bachelor,Below average,Not str republican,Not applicable,About right,Clinton
793,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Favor,38,Private,Never married,High school,Average,Not str republican,Not applicable,Don't know,Not applicable
794,A great deal,A great deal,A great deal,A great deal,Yes,No,Not applicable,Strongly disagree,Favor,Oppose,32,Private,Married,High school,Average,Independent,About right,Not applicable,Not applicable
795,Only some,A great deal,Hardly any,A great deal,No,Not applicable,Strongly disagree,Agree,Not applicable,Oppose,Not applicable,Government,Married,Bachelor,Average,"Ind,near dem",Not applicable,Too much,Clinton
796,Only some,A great deal,Hardly any,A great deal,Yes,No,Not applicable,Disagree,Favor,Favor,15,Private,Widowed,Junior college,Above average,Strong democrat,Not applicable,About right,Clinton
797,Only some,Hardly any,Only some,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,37,Private,Never married,High school,Average,Not str republican,About right,Not applicable,Not applicable
798,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Favor,Favor,89,Private,Married,High school,Above average,Strong democrat,Not applicable,Too little,Not applicable
799,Hardly any,Only some,Only some,A great deal,No,Not applicable,Strongly agree,Agree,Not applicable,Favor,70,Private,Widowed,High school,Below average,Not str democrat,Not applicable,About right,Not applicable
800,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Agree,Not applicable,Favor,Favor,Not applicable,Government,Never married,Junior college,Below average,Strong democrat,About right,Not applicable,Clinton
801,Hardly any,Only some,Only some,A great deal,No,Yes,Not applicable,Neither agree nor disagree,Oppose,Oppose,Not applicable,Private,Married,Lt high school,Don't know,Not str democrat,Not applicable,Don't know,Not applicable
802,Only some,Hardly any,Hardly any,Hardly any,No,Not applicable,Disagree,Not applicable,Not applicable,Favor,38,Private,Married,High school,Average,"Ind,near rep",About right,Not applicable,Not applicable
803,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Disagree,Not applicable,Favor,Don't know,20,Private,Never married,High school,Below average,Independent,Not applicable,About right,Not applicable
804,Only some,Hardly any,Hardly any,Only some,No,Not applicable,Strongly disagree,Agree,Not applicable,Favor,15,Private,Married,Bachelor,Average,"Ind,near rep",Not applicable,Too much,Other candidate (specify)
805,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,70,Private,Married,Lt high school,Below average,Not str democrat,Not applicable,About right,Not applicable
806,Only some,A great deal,Hardly any,Only some,No,Not applicable,Strongly disagree,Neither agree nor disagree,Not applicable,Oppose,Not applicable,Private,Married,High school,Far below average,Not str democrat,Not applicable,Too little,Clinton
807,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Strongly disagree,Not applicable,Oppose,Favor,52,Government,Married,Graduate,Average,"Ind,near dem",About right,Not applicable,Clinton
808,Only some,Only some,Hardly any,Only some,Yes,Yes,Not applicable,Disagree,Oppose,Favor,40,Private,Married,High school,Below average,"Ind,near dem",Not applicable,About right,Clinton
809,Only some,Hardly any,Hardly any,Only some,No,Yes,Not applicable,Disagree,Oppose,Oppose,40,Government,Separated,Junior college,Average,"Ind,near dem",About right,Not applicable,Other candidate (specify)
810,Only some,A great deal,Hardly any,Hardly any,No,Not applicable,Strongly disagree,Disagree,Not applicable,Favor,Not applicable,Private,Never married,High school,Below average,Other party,Not applicable,Too much,Clinton
811,Only some,A great deal,Hardly any,A great deal,No,No,Not applicable,Disagree,Favor,Oppose,40,Government,Never married,Bachelor,Above average,"Ind,near dem",Not applicable,Too much,Clinton
812,Only some,Only some,Hardly any,A great deal,Yes,No,Not applicable,Neither agree nor disagree,Favor,Oppose,32,Private,Never married,Bachelor,Above average,"Ind,near dem",About right,Not applicable,Other candidate (specify)
813,Only some,Only some,Hardly any,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,40,Private,Married,Bachelor,Above average,"Ind,near dem",About right,Not applicable,Clinton
814,Only some,Hardly any,Hardly any,A great deal,Yes,Not applicable,Disagree,Not applicable,Not applicable,Favor,32,Private,Married,High school,Far below average,"Ind,near dem",Too little,Not applicable,Other candidate (specify)
815,Only some,Only some,Only some,A great deal,Yes,Not applicable,Strongly disagree,Not applicable,Not applicable,Oppose,20,Private,Divorced,High school,Average,Strong democrat,About right,Not applicable,Clinton
